sentence,growth,slow,grown,rate,grew,new,increase,profit,sales,profitability,revenue,margin,ebitda,fast,eps,%,quarter,top,progress,bottom,strong,organic,drivers,high,add,improve,consistency,annual,quarterly,income
" Finisar's Chief Executive Officer Michael Hurlston said in a statement he was disappointed by the results, but that Finisar had begun to make changes, including to its product development efforts and reducing expense levels",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" The decision by Bank of America to boost the revolver loan is a strong vote of confidence in the progress rue21 is making, said Michael Appel, chairman of the retailer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
 Walgreens CEO Says Rite Aid Deal Closing Soon Walgreens Boots Alliance's chief executive said he expects the drugstore chain's long-delayed tie-up with Rite Aid to be approved in the coming weeks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" The increase in our share-repurchase program illustrates further confidence in our ability to unlock the value of this combination, including $million (GBP174 million) of synergies available only as a result of this transaction, said Jonathan Collins, executive vice president and chief financial officer of Dana",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Management said the alliance would speed up Vista's growth in the country, especially its flagship product Vista Cinema and cloud-based technology Veezi, which is more suited to smaller movie theaters",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" As you'll recall, the hand-wringing about iPhones culminated in a note from Toni Sacconaghi on Wednesday in which he predicted the outlook for iPhone sales this quarter will be less than consensus",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
" Leopold is optimistic about them, but notes the company faces increasing competition, and that the roll-out of the products in the second half of the year will be more gradual",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" The board feels strongly that the remuneration policy is an important part of its strategy and will help drive performance at PageGroup through clear, simple and transparent executive remuneration, linked to strategic, financial and non-financial targets PageGroup said",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" We are pleased to fulfill our pledge to return value to shareholders through this combination of an attractive and growing dividend as well as a sizable share repurchase program, said Richard Kinder, executive chairman",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Beyond this newsworthy but technically meaningless statistic, however, our focus remains on the far more important intermediate-term and longer-term market trends, which we still consider favorable overall at this juncture despite the distance this bull has charged",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Tesla's Musk Sets Sights on Australia-Via Twitter Tesla founder Elon Musk, in a series of Twitter exchanges, asserted that the company's battery technology can save Australia from a repeat of blackouts suffered last year",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Juniper remains committed to its long-term financial principles of driving revenue growth, earnings expansion, and an optimized capital structure, the company said",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Chairman and CEO of The Trendlines Group, Steve Rhodes added: We are very proud of the progress that the Arcuro team has made towards bringing their SuperBall(TM) meniscus repair system to market",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
" In a conference call, CIT Chief Financial Officer Carol Hayles said the write-down was primarily the result of lower projected earnings from OneWest's consumer-banking operations, due to higher-than-expected regulatory costs and capital needs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Fed funds futures, used by investors to bet on the Fed's interest-rate policy, showed a 27% chance that the Fed raises rates at its March meeting, compared with 18% Tuesday, according to data from CME Group",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" The newly announced buyers include the owners of two established esports organizations and Comcast Spectacor, whose core businesses are the Philadelphia Flyers hockey team, the Wells Fargo Center venue and Spectra, a provider of hosting and entertainment services",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Transaction highlights TCEG is a collection of three creative agencies - WRG, The Moment and Just Communicate - that provide experiential marketing primarily through events and digital marketing, including virtual and augmented reality, predominantly to healthcare clients",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Michael started his career as a Federal Bank Examiner with the FDIC, and brings over years of commercial banking experience, including underwritingportfolio management, lending, credit review and workout experience, to Hercules",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" The stock options granted will be in accordance with the Company's Stock Option Plan and will have the required four months hold period legend, pursuant to the Policies of the CSE and regulatory authorities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Both join the executive team which includes Duva, Gayron and Ruzicka, as well as Tom Cordiner, Senior Vice President of Global Sales, and Peter Ennis, Senior Vice President of Global Services & Support",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Facilities CellRight moved into its existing premises in Universal City, San Antonio, Texas in and customised the facility to allow for both its current requirements as well as future growth",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" The Board of Directors assessment is that the subscription price in the Directed Issue will be in accordance with market conditions, since it will be determined through an accelerated bookbuilding procedure",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Over time we do envision ETFs coming to market, once the regulated futures market is built and liquid, Chris Concannon, president and COO of the Chicago-based exchange operator, said on an earnings call today",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 The co-founder of encrypted messaging app Telegram on Sunday announced plans for a team of moderators who are familiar with Indonesia's language and culture to remove terrorist-linked content,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 The collaboration combines the Red Hat OpenShift Container Platform with HCL's IT transformation and operations capabilities for a holistic application Platform-as-a-Service (PaaS) solution designed to accelerate build and deployment of modern cloud-native applications,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" The Commerce Department's initial read of fourth-quarter gross domestic product, out Friday, will prove just how much ground the economy has to cover to get anywhere close to Mr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
" Still, it notes Concho's bigger scale may mean they get viewed differently by investors than in the past, with the most notable difference between today's smaller-cap and larger-cap producers being a greater focus on returning cash to shareholders from the large-caps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Twitter:  Australian shares look poised for a sharp fall at the bell, pulling back from strong gains in the last two days of a holiday-shortened week and tracking weakness on Wall Street after the Fed raised interest rates",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
" A split would allow the two companies to drill at their own pace, and APC would be empowered to improve its position through acquisitions and divestitures, the firm says",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
" Over the past years, Rob has served in leadership roles in sales, marketing, and services, and most recently helped organize our company around the high-growth IoT opportunity, said Heppelmann",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 While I realize that information flow does have limits as required under SEC compliance and selective disclosure rules -- and to protect the intellectual property of our Company and those we work with -- we will work diligently within these bounds to keep our shareholders well informed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Kushner, the son-in-law of President Donald Trump, is in the process of selling his state in WiredScore to a venture-capital firm, in a move to unburden himself of business ties as he moves up the ranks in the White House",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" These and other material risks are described in the Company's Annual Report on Form 10-K for the year ended December 31, and any other documents filed by the Company from time to time, which are available from the Company and from the SEC, and you should read and understand these risks when evaluating any forward-looking statement",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 She began her career as a talent manager for the UK-based talent management and production company Avalon where she assumed responsibility for Avalon's television business development and M&A initiatives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Analysts have speculated that within a few years, it could be a takeover target of Brazilian investment firm 3G Capital Partners LP, whose founders are controlling shareholders in brewer Anheuser-Busch InBev NV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" About Orbit Garant Headquartered in Val-d'Or, Quebec, Orbit Garant is one of the largest Canadian-based mineral drilling companies, providing both underground and surface drilling services in Canada and internationally through its drill rigs and more than 1,employees",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Overall, however, we are strongly of the view that the current undemanding multiple more than compensates for any of these sort of issues, whether real or perceived, UBS says",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" We supplement the presentation of our operating profit, operating margin, pre-tax income, net income and earnings per share with similar non-GAAP measures that exclude the impact of the portion of net periodic benefit cost represented by the gains and losses recognized in excess of the 10% corridor and the related income tax effects",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
" Formerly, Harris was the Senior Managing DirectorHead of Asia, Chief Financial Officer and Head of Asset Management of Avenue Capital Group's Asia funds with peak assets under management of nearly $billion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 In a global political context that is unpredictable we still stand firm in our belief that consumers expect more and more from products and companies in terms of sustainability and that this creates growing market opportunities for us,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" This will be a critical role as we advance our product development, which remains focused on introducing relevant solutions to the medical community and improve patient outcomes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
" These products are available for incorporation directly into our OEM customers' systems, or provided as part of Silicom's patented SETAC (Server To Appliance Converter), a unique approach to the provision of high quality standard platforms with modular front connectivity",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
" This is the first participation-based employer certification programme recognising excellence in management and employee motivation based on the following six criteria -- professional development, stimulating environment, management and motivation, salary and rewards, and, lastly, pride and pleasure",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Immediately following Admission, it is envisaged that Mr Mills will be directly and indirectly interested in a total of 190,750,Ordinary Shares representing approximately 22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" SEB's Benefits processing solutions also include a fully automated, content-rich health and wellness platform, document management solutions, standalone fraud and analytics solutions and administration and underwriting solutions, which automate the application, underwriting and administration of new insurance product sales",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" It is a natural progression for China to stop issuing new crude-import quotas after Friday to independent refineries who haven't applied for them, says Li Li, head of research at ICIS China",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Live action releases include the action thriller Hard Powder, teaming Academy Award(R) nominees Liam Neeson and Laura Dern and Golden Globe(R) nominee Emmy Rossum, and the adventure tale The Mercy for Roadside Attractions, teaming Oscar(R) winners Colin Firth and Rachel Weisz",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" (NYSE: CTL) today is announcing the organizational structure and executive leaders who will report to Jeff Storey, recently named president and chief operating officer (COO) of CenturyLink upon the completion of the Level Communications, Inc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Wells Fargo says the next CEO will be critical to restore investor confidence, and that potential candidates may include: Jeff Binder, former CEO of Biomet; Steve MacMillan, CEO of Hologic (HOLX) and former CEO of Stryker (SYK); and Gail Boudreaux, a Zimmer director and former CEO of insurer UnitedHealth (UNH)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" As the Internet-of-Things market grows and attacks become increasingly prevalent, OEMs of all sizes must have a cost-effective and integrated method to enable hardware-based security from product design through manufacturing, said Anthony Ambrose, President and CEO of Data IO Corporation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" About Lenovo Lenovo (SEHK:0992) (Pink Sheets:LNVGY) is a $billion global Fortune company and a leader in providing innovative consumer, commercial, and enterprise technology",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Fredrik Lundberg has expressed a wish to step down from one of his assignments, as an adaptation to the ESMA and EBA Guidelines for assessing the suitability of members of the management body, which will take effect on June 2018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" -- Issued 1,250,common shares on the exercise of warrants by VN Capital for proceeds of C$million (USD$million) in connection with the Corporation's rights offering that closed at the end of 2014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" AMGP cautions you that these forward-looking statements are subject to all of the risks and uncertainties, most of which are difficult to predict and many of which are beyond AMGP's and Antero Midstream's control, incident to Antero Midstream's business",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" As OrganoClick now has taken over and implemented most production of BIOkleen-products from previously used contract manufacturer, several steps in the logistics chain is now done twice as the goods are shipped from Tby to Vaggeryd and therafter to the customers",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" BMO Capital says proposal is largely in line with expectations, and believes bail-in securities will end up being a bit more expensive than legacy senior unsecured securities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" (NASDAQ: AVNW), (Aviat Networks or the Company), the leading expert in microwave networking solutions, today announced the appointment of Stan Gallagher as Chief Operating Officer, a newly created executive leadership position",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" In reviewing this Offer, the Independent Virgin Money Directors have taken account of shareholder value, the impact on wider stakeholders and a range of transaction considerations",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Treasuries for the first time and looking on track for further growth([2]) , this creates a more complex trading environment (OTC and Exchange) that lends itself to more automated routing technologies and TCA analytics",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 This mainly comprises the gain on the partial divestment of Vopak Terminal Eemshaven and the impairments recognized on two joint venture terminals in Estonia and China -- Net profit: total exceptional losses included in the net profit amounted to EUR million (2016: gain of EUR million),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" This outlook reflects management's view of current and future property operations and market conditions, including assumptions such as rental rates, occupancy levels, operating and general and administrative expenses, weighted average diluted shares outstanding, the pace of future acquisitions and interest rates",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Highlights Include: -- Capital budget for is $million, including $million in expansion capital and $million in maintenance capital -- Net income for is forecast to be $million to $million -- Adjusted EBITDA for is forecast to be $million to $million -- Distributable Cash Flow for is forecast to be $million to $million with DCF coverage of 1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
" The company's EDLP (everyday low price) strategy and established portfolio of store brands, including Great Value, Sam's Choice, Parent's Choice and Equate, are expected to support its price leadership as competition from hard discounters Aldi and Lidl increases",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Wells Fargo CFO John Shrewsberry said the bank will continue its retrenchment in auto lending for a little bit to make sure we like where we are from a credit perspective,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Tesla Chief Executive Elon Musk cautioned in July that the effort to bring out the car would be manufacturing hell as the company learns to build the vehicle in large numbers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Trump threatened to impose tariffs on $billion in Chinese imports and, as of Friday, his administration put into effect a 25% tariff on steel and a 10% tariff on aluminum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" You borrow from your employees when you cut training, which boosts the bottom-line over the short-term, but employees may feel disengaged and the best of them may leave",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 Danish biotech Bavarian Nordic announced Thursday evening that it was discontinuing a pivotal trial study of its experimental prostate cancer vaccine due to a lack of efficacy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Expectations improved, though consumers were somewhat ambivalent about their income prospects over the coming months, perhaps the result of some uncertainty regarding the impact of the tax plan, said Lynn Franco, director of economic indicators at the Conference Board",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
" In early reviews from the Street, JP Morgan's Sandeep Deshpande, reiterating a Neutral rating, calls the results very disappointing, not just the 1% sales miss, but an 83% miss on Ebit",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Schlotman says Kroger, the US's largest grocer, will take until the end of January to evaluate the implications of the tax plan before deciding how to use the additional cash if it passes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Pairing the expertise of NTT Communications in managed services, and Microsoft's cloud technology, the solution will address businesses' need for agility, as well as the challenges of security and compliance in the cloud",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" We will always look for healthy growth opportunities and believe that our business model will continue to be scaled by attracting quality people to serve as General Managers, said Mr",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" (NASDAQ: SSC) (SSC or the Company), announced today its Q2 operating results for the period ending June 30, (a full copy of the Company's quarterly report on Form 10-Q will also be posted at www",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
 Congresswoman Jan Schakowsky (D-IL) says that Equifax's main federal regulatorsthe Consumer Financial Protection Bureau and the Federal Trade Commission--didn't know about the breach in advance of the company's announcement on the breach disclosure on Sept,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" I am therefore fully confident that we will drive strong value creation from the WhiteWave acquisition, and deliver the attractive financial benefits we outlined last July",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
" In the meantime, Soitec's 300mm business is expected to grow further in the second half of FY'thanks to further increase in FD-SOI and Photonics-SOI sales, sustained demand in Imager-SOI and RF-SOI growth in 300mm",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Partially offsetting factors supporting the rating include balanced fiscal and operating results, continued operating and capital support from Texas ('AAA'Stable), and a diverse revenue mix",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Parkson Yip, COO E-mail: +852-Web:Compass Investor Relations Elaine Ketchmere, CFA+1-310-528-Web:View original content:http:news-releasescleantech-solutions-international-enters-into-sale-and-purchase-agreement-to-acquire-51-of-inspirit-studio-300544695",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" She says the EU is taking into consideration recently announced US sanctions against Russian individuals, including Gazprom chairman Alexei Miller, but that they would try to keep what happens geopolitically strictly apart from the case specifics since the details of the case are what would eventually be scrutinized in court",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Many of the Bombardier models are required to have the updates implemented within four months, though other aircraft with suspect systems will have much longer to come into compliance",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" London Stock Exchange Group PLC on Thursday said Chief Executive Xavier Rolet would leave the company by the end of next year, bringing down the curtain on a tenure marked by a big bet on index services and a failed attempt to create a pan-European exchange",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" During the webinar, Gartner analysts will walk through the trends driving IT spending, such as digital business, blockchain, Internet of Things (IoT) and the progress from algorithms to machine learning to artificial intelligence, and examine shifts in spending patterns",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
" That as rising oil prices and higher US interest rates will be a concern for some countries, notes DBSwhich expects currency volatility to ascend from multiyear lows the next 6-months",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" (NASDAQ:HDNG), a leading international provider of advanced metal-cutting solutions and accessories, reported financial results for its second quarter ended June 30, 2017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
" The estates of Bernard Madoff's two deceased sons, Mark and Andrew Madoff, reached a $million settlement to help make up for investors' losses in their father's Ponzi scheme",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" DHT's acquisition of BW Group, has diluted Frontline's ownership in DHT to less than 10% from around 16% and has made it more difficult for Frontline to push through its hostile bid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" China plans to expand its crackdown on financial risk to money-market funds by capping how much investors can redeem in a day, people familiar with the matter said, as reported by Bloomberg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" The recent quarter demonstrated a good start but with growth still some way below peers, we need to see a sustained period of growth before we would become more positive at the current share price",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
" Shell Profit Slips to Lowest Level in More Than a Decade Royal Dutch Shell PLC's annual profit tumbled to the lowest level in more than a decade, reflecting a tough year for an industry hit hard by low oil prices",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
" Quarterly Comparison Three Months Ended Mar 31, Dec 30, Apr 1, (in thousands, except EPS) Q2F18 Q1F18 Q2F17 Revenue $ 698,$ 677,$ 604,Gross profit 52,63,63,Operating income 17,31,32,Net income (loss) 12,(98,493) 29,Diluted earnings (loss) per share $ $ (2",0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
" Over the last year, Moise has been instrumental in leading the growth of digital subscriptions and optimizing the organizational design of the company into a customer-centric model",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" The European Union has a strong view on environmental issues, and their government controlled financial institutions have a clear mandate to support companies that positively impact the environment",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 OCBC says 2of the vessels in Yangzijiang's order book likely won't generate earnings for the shipbuilderhighlighting the tough operating environment facing the company,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" -- Earnings per fully diluted ADS on a GAAP basis were $in the first quarter of 2017, compared with loss per fully diluted ADS of $in the fourth quarter of and earnings per fully diluted ADS of $in the first quarter of 2016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
" OM Financial's Stuart Ive says focus this week will be on ex-FBI director James Comey's testimony that could increase the political heat on US President Donald Trump, possibly driving gold prices higher",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" This US startup has advanced technologies that notably enable drones to operate from moving vehicles, including precision landing, automatically identifying and tracking objects on the ground or in water, and building new categories of drone data",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" According to Paul Sexauer, Flexpoint VP Sales & Marketing, To be a strategic partner with such a ground-breaking technology leader in a rapidly burgeoning marketspace is an honor",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" TECHNOLOGY NEWS Apple Tuesday introduced a trio of new iPhones Tuesday, making a bet that some customers will be willing to part with upward of $1,for the premium iPhone X while others will also pay up to upgrade regular models, the iPhone and plus",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" -- Secured a New $1M Credit Facility with Comerica Bank - The Company secured a new credit facility with Comerica bank in February to provide additional financial flexibility to fuel the growth of recurring rental, service and maintenance revenue from its on-site food waste digester products",1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Risk is on this morning because traders are cheering what they expect to be a victory for the EU project as Macron ascends to the Elysee Palace after next month's final vote, adds McKenna",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" The Cyprus-based foreign exchange trader notes that even as the Bank of England raised interest rates Thursday, the pound fell as the BOE warned that Brexit was hitting the U",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" To date, the customer has confirmed that it has designed in a Silicom encryption card into two of its new platforms and that it plans to deploy it in additional platforms over the year ahead",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Boeing, whose stock has jumped 67% this year, accounted for of the DJIA's last thousand points, while Caterpillar added points, Goldman Sachs added and International Business Machines contributed 104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
